match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,1,1,400,67,7,15,97,363,2,2,1,0,0,6,488,512
1,1,3,211,122,46,42,114,440,7,7,1,2,2,13,638,362
2,3,2,183,315,78,35,60,321,4,6,1,0,0,11,501,499
3,0,1,101,73,14,145,34,616,3,6,1,2,0,10,519,481
4,0,0,27,445,0,8,0,99,2,19,0,1,0,11,0,1000
5,0,1,99,78,0,254,0,521,4,1,0,2,0,5,370,630
6,1,0,101,114,97,0,15,635,2,11,0,0,0,13,687,313
7,2,0,104,203,48,0,34,527,6,15,5,0,1,26,586,414
8,2,3,149,305,3,0,0,477,3,8,1,0,0,11,346,654
9,0,0,169,27,4,133,40,623,6,3,0,0,2,7,629,371
