match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,1,3,37,46,186,171,22,471,0,4,11,1,0,16,1,1,1,2,1,3,620,380
1,0,3,61,218,73,36,0,552,10,6,2,0,0,24,3,3,1,1,0,1,406,594
2,0,0,117,124,158,99,30,392,5,4,6,0,0,16,0,1,2,2,1,1,515,485
3,0,1,360,30,90,42,15,405,11,3,2,3,1,16,1,0,2,0,0,2,760,240
4,0,1,61,190,71,10,69,575,6,4,1,1,1,13,1,1,1,0,1,2,627,373
5,1,1,87,112,245,0,0,460,3,5,10,0,0,20,0,0,1,0,0,0,620,380
6,1,2,191,60,533,0,0,207,0,2,3,0,0,6,1,0,2,0,0,0,648,352
7,0,0,38,110,376,6,0,433,4,2,4,0,0,11,0,1,2,4,0,2,251,749
8,1,1,1,160,264,24,0,437,1,2,2,0,0,7,0,3,3,2,0,1,86,914
9,1,0,307,6,453,0,0,153,0,1,6,0,0,7,3,0,2,0,0,0,850,150
10,0,1,188,113,197,0,0,393,9,2,12,0,0,25,6,2,5,0,0,0,478,522
11,0,1,125,46,209,0,0,586,5,0,6,0,0,11,3,1,4,0,0,0,636,364
12,1,1,300,202,170,0,0,236,6,3,9,0,0,12,4,3,3,0,0,0,269,731
13,2,3,49,287,204,0,0,446,1,6,4,0,0,10,1,1,0,0,0,0,487,513
14,0,0,112,279,250,2,0,329,4,2,6,2,0,8,1,3,3,0,0,0,360,640
15,1,0,106,140,337,0,0,335,2,6,8,0,0,21,2,1,2,0,0,0,451,549
16,1,1,147,249,251,18,0,302,1,1,9,0,0,9,1,7,6,1,0,1,415,585
17,1,0,84,128,67,83,0,544,5,4,9,0,0,22,1,1,0,3,0,1,437,563
18,1,2,143,49,217,242,14,295,6,1,15,12,1,4,3,2,0,2,1,1,769,231
19,0,1,265,102,140,93,18,299,9,5,5,1,0,17,3,3,1,0,1,1,287,713
20,0,3,101,113,55,0,0,720,2,8,6,0,0,14,3,2,0,0,0,0,268,732
21,0,1,52,113,232,60,0,463,1,9,9,5,0,8,2,4,4,3,0,3,376,624
22,0,2,42,51,46,115,108,620,6,2,3,5,1,5,0,2,1,4,0,3,598,402
23,1,3,131,188,49,106,0,505,10,6,2,3,0,8,1,5,1,4,0,2,158,842
24,1,1,50,70,228,27,0,593,2,1,6,1,0,9,1,0,2,2,0,2,484,516
25,0,0,219,382,169,0,0,227,0,4,1,0,0,3,3,2,3,0,0,0,340,660
26,0,1,123,132,286,0,2,345,4,5,8,0,1,16,0,0,3,0,0,0,262,738
27,1,0,3,97,195,62,0,635,1,4,5,1,0,10,1,0,0,1,0,1,60,940
28,0,3,176,196,62,0,20,529,9,2,3,0,0,16,3,4,2,0,1,1,211,789
29,2,1,116,194,252,69,0,303,2,6,9,2,0,14,1,2,5,1,0,1,581,419
30,0,1,162,19,4,53,28,622,5,3,1,2,0,11,0,0,0,2,1,2,247,753
31,0,1,218,337,61,42,87,237,7,3,3,3,1,7,6,5,0,1,2,2,177,823
32,0,0,23,181,102,83,20,582,2,2,3,0,0,9,0,1,0,2,2,3,136,864
33,0,0,364,0,2,0,0,303,20,0,0,0,0,17,0,0,1,0,0,0,1000,0
34,1,2,186,118,141,107,86,255,16,3,10,4,2,26,3,1,2,0,1,2,532,468
35,1,3,101,191,131,0,15,524,11,3,4,0,0,21,1,5,1,0,1,1,446,554
36,0,0,270,84,214,0,0,367,8,4,7,0,0,16,3,2,6,0,0,0,429,571
37,0,1,202,138,217,0,32,339,5,6,7,0,0,11,4,4,3,0,1,0,328,672
38,0,1,340,176,188,0,0,272,12,2,7,0,0,17,3,3,2,0,0,0,843,157
39,0,1,180,43,132,93,52,412,7,5,2,2,1,26,2,0,2,4,1,5,460,540
40,1,2,13,138,128,11,10,633,0,7,11,0,1,7,1,8,6,1,1,1,420,580
41,0,1,45,299,289,0,0,352,2,3,4,0,0,8,3,6,2,0,0,0,0,1000
