match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame,coach_top_1_acc,coach_top_2_acc
0.0,0.0,0.0,181.0,146.0,126.0,28.0,226.0,262.0,9.0,6.0,3.0,3.0,8.0,8.0,2.0,3.0,1.0,0.0,0.0,0.0,462.0,538.0,0.7058823529411765,0.7647058823529411
1.0,2.0,0.0,90.0,126.0,0.0,190.0,29.0,466.0,6.0,9.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,2.0,2.0,3.0,323.0,677.0,0.5399159663865546,0.7247899159663865
2.0,1.0,0.0,142.0,456.0,317.0,71.0,0.0,8.0,2.0,1.0,3.0,3.0,0.0,1.0,4.0,7.0,6.0,0.0,0.0,0.0,368.0,632.0,0.3431372549019608,0.46568627450980393
3.0,1.0,1.0,556.0,165.0,89.0,30.0,35.0,66.0,6.0,8.0,4.0,4.0,1.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,249.0,751.0,0.05874840357598978,0.11698595146871009
4.0,2.0,1.0,117.0,507.0,35.0,0.0,33.0,281.0,2.0,3.0,1.0,0.0,3.0,9.0,2.0,2.0,1.0,0.0,1.0,1.0,566.0,434.0,0.059706959706959696,0.14552476508998247
5.0,0.0,1.0,131.0,253.0,315.0,53.0,13.0,109.0,1.0,6.0,1.0,5.0,0.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,379.0,621.0,0.2906574394463668,0.3806228373702422
6.0,0.0,0.0,122.0,491.0,0.0,167.0,25.0,192.0,4.0,2.0,0.0,2.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,97.0,903.0,0.7352941176470589,0.8823529411764706
7.0,0.0,0.0,93.0,295.0,0.0,44.0,512.0,31.0,2.0,5.0,0.0,1.0,8.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,198.0,802.0,0.7352941176470589,0.7941176470588235
8.0,0.0,3.0,238.0,265.0,67.0,268.0,49.0,89.0,2.0,2.0,4.0,4.0,1.0,7.0,3.0,3.0,3.0,2.0,0.0,1.0,359.0,641.0,0.12264521193092623,0.12367870225013082
9.0,0.0,0.0,162.0,252.0,48.0,180.0,112.0,160.0,5.0,10.0,3.0,8.0,3.0,6.0,3.0,3.0,1.0,1.0,0.0,1.0,718.0,282.0,0.5588235294117647,0.7352941176470589
