match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame,coach_top_1_acc,coach_top_2_acc,possession_blue,possession_yellow,intercept_blue,intercept_yellow,passing_blue,passing_yellow
0.0,1.0,1.0,188.0,124.0,144.0,49.0,71.0,248.0,5.0,1.0,5.0,2.0,2.0,6.0,4.0,3.0,3.0,2.0,0.0,0.0,385.0,615.0,0.5588235294117647,0.6764705882352942,456.0,368.0,11.0,10.0,10.0,2.0
1.0,3.0,0.0,212.0,124.0,154.0,89.0,333.0,74.0,8.0,5.0,3.0,2.0,10.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,410.0,590.0,0.6111111111111112,0.8055555555555556,490.0,496.0,16.0,13.0,8.0,2.0
2.0,0.0,2.0,219.0,195.0,11.0,240.0,123.0,200.0,3.0,8.0,1.0,5.0,2.0,3.0,3.0,1.0,0.0,1.0,2.0,0.0,293.0,707.0,0.5294117647058824,0.7352941176470589,425.0,563.0,12.0,10.0,4.0,3.0
3.0,0.0,2.0,165.0,340.0,37.0,240.0,201.0,0.0,4.0,5.0,2.0,4.0,7.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,366.0,634.0,0.6571428571428571,0.7428571428571429,542.0,441.0,11.0,11.0,4.0,0.0
4.0,1.0,0.0,113.0,280.0,78.0,211.0,10.0,278.0,3.0,8.0,2.0,5.0,2.0,8.0,4.0,5.0,3.0,3.0,0.0,3.0,653.0,347.0,0.38235294117647056,0.7058823529411765,471.0,499.0,13.0,15.0,12.0,6.0
5.0,0.0,0.0,95.0,587.0,8.0,126.0,178.0,0.0,1.0,7.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,26.0,974.0,0.7647058823529411,0.8823529411764706,690.0,304.0,8.0,8.0,3.0,1.0
6.0,0.0,0.0,154.0,486.0,7.0,286.0,23.0,12.0,6.0,12.0,0.0,12.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,71.0,929.0,0.6176470588235294,0.9117647058823529,647.0,321.0,18.0,14.0,6.0,1.0
7.0,0.0,0.0,462.0,370.0,0.0,57.0,0.0,104.0,5.0,3.0,0.0,2.0,0.0,3.0,11.0,12.0,0.0,1.0,0.0,1.0,688.0,312.0,0.7352941176470589,0.9117647058823529,832.0,161.0,8.0,5.0,23.0,2.0
8.0,1.0,0.0,413.0,192.0,56.0,140.0,0.0,171.0,5.0,5.0,2.0,5.0,0.0,5.0,5.0,5.0,1.0,0.0,0.0,1.0,654.0,346.0,0.5882352941176471,0.8235294117647058,661.0,311.0,12.0,10.0,11.0,1.0
9.0,1.0,0.0,266.0,431.0,95.0,80.0,0.0,111.0,7.0,5.0,1.0,4.0,0.0,11.0,3.0,5.0,3.0,0.0,0.0,0.0,757.0,243.0,0.6176470588235294,0.8529411764705882,792.0,191.0,13.0,15.0,11.0,0.0
